Titulo;Autor;Interprete;Tom;Categoria;Categoria rotulo;Link da letra;Link da cifra;Link de referencia;Observacao;Ativo
MÃE DO CÉU MORENA;Pe. Zezinho, SCJ;Padre Zezinho;;MARIANA;Mariana;;;https://www.youtube.com/results?search_query=Padre+Zezinho+M%C3%83E+DO+C%C3%89U+MORENA;Mariana / Nossa Senhora Aparecida;Sim
MÃE DO MEU SENHOR;Frei Gilson;Frei Gilson;;MARIANA;Mariana;;;https://www.youtube.com/results?search_query=Frei+Gilson+M%C3%83E+DO+MEU+SENHOR;Mariana / maternidade divina;Sim
MÃE DO NOVO HOMEM;Pe. Zezinho, SCJ;Padre Zezinho;;MARIANA;Mariana;;;https://www.youtube.com/results?search_query=Padre+Zezinho+M%C3%83E+DO+NOVO+HOMEM;Mariana / Maria, Mãe de Cristo e da Igreja;Sim
MÃE, EU QUERO TE AMAR;Frei Gilson;Frei Gilson;;MARIANA;Mariana;;;https://www.youtube.com/results?search_query=Frei+Gilson+M%C3%83E%2C+EU+QUERO+TE+AMAR;Mariana / devoção filial;Sim
MÃEZINHA DO CÉU;Repertório católico tradicional;Padre Marcelo Rossi;;MARIANA;Mariana;;;https://www.youtube.com/results?search_query=Padre+Marcelo+Rossi+M%C3%83EZINHA+DO+C%C3%89U;Mariana / devoção filial;Sim
NA COMUNHÃO TE ENTREGAS A MIM;Vida Reluz;Vida Reluz;C;COMUNHAO;Comunhão;https://www.cifraclub.com.br/vida-reluz/na-comunhao-te-entregas-a-mim/;https://www.cifraclub.com.br/vida-reluz/na-comunhao-te-entregas-a-mim/;;Comunhão / entrega de Cristo na Eucaristia;Sim
NA MESA SAGRADA;Canção Nova;Canção Nova;;COMUNHAO;Comunhão;https://www.cifraclub.com.br/cancao-nova/na-mesa-sagrada/;https://www.cifraclub.com.br/cancao-nova/na-mesa-sagrada/;https://www.youtube.com/results?search_query=Canção+Nova+Na+Mesa+Sagrada;Comunhão / Eucaristia;Sim
NA PÁSCOA DA NOVA ALIANÇA;"Frei José Moacyr Cadenassi, OFMCap; música: Ir. Míria T. Kolling";Ir. Míria T. Kolling;;COMUNHAO;Comunhão;;;;Comunhão / Exaltação da Santa Cruz;Sim
NA TUA PRESENÇA;Ministério Amor e Adoração;Ministério Amor e Adoração;;ADORACAO;Adoração;https://www.cifraclub.com.br/ministerio-amor-e-adoracao/na-tua-presenca/;https://www.cifraclub.com.br/ministerio-amor-e-adoracao/na-tua-presenca/;https://www.youtube.com/results?search_query=Ministério+Amor+e+Adoração+Na+Tua+Presença;Adoração;Sim
NA ÁGUA E NO ESPÍRITO;Léo Mantovani;Léo Mantovani;B;ATO_PENITENCIAL;Ato Penitencial;;;;Ato penitencial / Batismo;Sim
NADA NOS SEPARARÁ;Davidson Silva;Davidson Silva;;POS_COMUNHAO;Pós-Comunhão / Ação de Graças;https://www.cifraclub.com.br/davidson-silva/nada-nos-separara/;https://www.cifraclub.com.br/davidson-silva/nada-nos-separara/;https://www.youtube.com/results?search_query=Davidson+Silva+Nada+Nos+Separará;Pós-comunhão / oração / ação de graças;Sim
NADA TEMEREI;Adriana Arydes;Adriana Arydes;;POS_COMUNHAO;Pós-Comunhão / Ação de Graças;https://www.cifraclub.com.br/adriana/nada-temerei/;https://www.cifraclub.com.br/adriana/nada-temerei/;https://www.youtube.com/results?search_query=Adriana+Arydes+Nada+Temerei;Pós-comunhão / oração / ação de graças;Sim
NADA VAI NOS SEPARAR;Frei Gilson;Frei Gilson;Bb;OUTROS;Outros;https://www.cifraclub.com.br/frei-gilson/nada-vai-nos-separar/;https://www.cifraclub.com.br/frei-gilson/nada-vai-nos-separar/;https://www.youtube.com/results?search_query=Frei+Gilson+NADA+VAI+NOS+SEPARAR;Amor de Deus / confiança;Sim
NAS ASAS DO SENHOR;Padre Fábio de Melo;Padre Fábio de Melo;;POS_COMUNHAO;Pós-Comunhão / Ação de Graças;https://www.cifraclub.com.br/pe-fabio-de-melo/nas-asas-do-senhor/;https://www.cifraclub.com.br/pe-fabio-de-melo/nas-asas-do-senhor/;https://www.youtube.com/results?search_query=Padre+Fábio+de+Melo+Nas+Asas+do+Senhor;Pós-comunhão / oração / ação de graças;Sim
NEM A VIDA, NEM A MORTE;Ir. Míria T. Kolling;Ir. Míria T. Kolling;;OFERTORIO;Apresentação das Oferendas;;;;Apresentação das oferendas / Fiéis Defuntos;Sim
NO ALTAR NO DO MEU SENHOR;Canção Nova;Canção Nova;;OFERTORIO;Apresentação das Oferendas;https://www.cifraclub.com.br/cancao-nova/no-altar-no-do-meu-senhor/;https://www.cifraclub.com.br/cancao-nova/no-altar-no-do-meu-senhor/;https://www.youtube.com/results?search_query=Canção+Nova+No+Altar+No+do+Meu+Senhor;Apresentação das oferendas;Sim
NO SENHOR SE ENCONTRA A MISERICÓRDIA;"Missal Romano; Liturgia das Horas; música: Pe. Sílvio Milanez";Pe. Sílvio Milanez;;OFERTORIO;Apresentação das Oferendas;;;;Apresentação das oferendas / Missa pelos Fiéis Defuntos;Sim
NOITE EXCELSA;;;;ENTRADA;Entrada;;;;Entrada / Natal - Missa da Noite;Sim
NOSSA GLÓRIA É A CRUZ;Pe. José Weber, SVD;Pe. José Weber, SVD;;OFERTORIO;Apresentação das Oferendas;;;;Apresentação das oferendas / Exaltação da Santa Cruz;Sim
NOSSA MISSÃO;Adriana Arydes;Adriana Arydes;;FINAL;Final;https://www.cifraclub.com.br/adriana/nossa-missao/;https://www.cifraclub.com.br/adriana/nossa-missao/;;Missão / envio;Sim
NOSSA OFERTA DE AMOR;Comunidade Católica Shalom;Comunidade Católica Shalom;D;OFERTORIO;Apresentação das Oferendas;https://www.cifraclub.com.br/comunidade-catolica-shalom/nossa-oferta-de-amor/;https://www.cifraclub.com.br/comunidade-catolica-shalom/nossa-oferta-de-amor/;https://www.youtube.com/results?search_query=Comunidade+Católica+Shalom+Nossa+Oferta+de+Amor;Apresentação das oferendas;Sim
NOSSA SENHORA;"Roberto Carlos; Erasmo Carlos";Adriana Arydes;;MARIANA;Mariana;;;https://www.youtube.com/results?search_query=Adriana+Arydes+NOSSA+SENHORA;Mariana / devoção a Nossa Senhora;Sim
NOVA MISSÃO;Dirceu Vicente De Paula;Músicas Católicas;;FINAL;Final;;;https://www.youtube.com/results?search_query=M%C3%BAsicas+Cat%C3%B3licas+NOVA+MISS%C3%83O;Canto final / missão, evangelização e testemunho;Sim
NOVA UNÇÃO;Adriana Arydes;Adriana Arydes;;FINAL;Final;;;https://www.youtube.com/results?search_query=Adriana+Arydes+NOVA+UN%C3%87%C3%83O;"Canto final / envio e ação do Espírito; repertório classificado como FINAL";Sim
NOVO AMANHECER;Comunidade Católica Shalom;Comunidade Católica Shalom;;ENTRADA;Entrada;;;;Entrada / louvor;Sim
NOVO DIA;Davidson Silva;Davidson Silva;;POS_COMUNHAO;Pós-Comunhão / Ação de Graças;https://www.cifraclub.com.br/davidson-silva/novo-dia/;https://www.cifraclub.com.br/davidson-silva/novo-dia/;https://www.youtube.com/results?search_query=Davidson+Silva+Novo+Dia;Pós-comunhão / oração / ação de graças;Sim
NÃO EXISTE AMOR SEM ENTREGA;"Fr. Gotzon Aulestia; versão: Ir. Míria T. Kolling";Ir. Míria T. Kolling;;COMUNHAO;Comunhão;;;https://www.youtube.com/watch?v=b9AkVgCfo8g;Comunhão / entrega e amor eucarístico;Sim
NÓS SOMOS MUITOS;Pe. José Weber, SVD;Pe. José Weber, SVD;;COMUNHAO;Comunhão;;;https://www.youtube.com/watch?v=pNYJ9ELiW3c;Comunhão / unidade eclesial na Eucaristia;Sim
NÓS TE DAMOS MUITAS GRAÇAS;"Antônio Prado; Frei Joel Postma, OFM";CNBB / Música Litúrgica;;COMUNHAO;Comunhão;;;https://www.youtube.com/watch?v=rCL8p7FzQ74;Comunhão / ação de graças / Hinário Litúrgico da CNBB;Sim
O AMOR DE DEUS COBRIU;"Ir. Míria T. Kolling; Pe. Lúcio Floro";CNBB / Música Litúrgica;;FINAL;Final;;;https://www.youtube.com/watch?v=BxvL5wsACYg;Canto final / Pentecostes;Sim
O BANQUETE DO CORDEIRO;Ministério Amor e Adoração;Ministério Amor e Adoração;;CORDEIRO;Cordeiro de Deus;https://www.cifraclub.com.br/ministerio-amor-e-adoracao/o-banquete-do-cordeiro/;https://www.cifraclub.com.br/ministerio-amor-e-adoracao/o-banquete-do-cordeiro/;https://www.youtube.com/results?search_query=Ministério+Amor+e+Adoração+O+Banquete+do+Cordeiro;Cordeiro de Deus;Sim
